seat_won,member,donor_name,tot_from_donor,tot_to_candidate,party,counties,term_start,house_district,senate_district
Representative District 1,Edward C. Goodwin,NC Auto Dealers Accociation PAC,1020,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,NC Clean Energy Business Alliance PAC,1000,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,NC Home Builders Association PAC,500,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,NC House Republican Campaign Committee,12500,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,NC Orthopaedic Association PAC,1000,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,North Carolina Republican House Caucus,364124,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,North Carolina Republican Party,25575,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,Resident Lenders of NC PAC,500,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,State Employees Association of NC PAC,500,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,Ted Budd for Congress,2000,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,US Term Limits PAC,5000,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,Weyerhaeuser Company PAC,500,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 10,"John R. Bell, IV",Aggregate,160,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV","Ahold Delhaize USA, Inc PAC",500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",American Airlines Inc PAC,1500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",American Anesthesiology of NC PAC,3000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",American Council of Engineering Companies,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",American Kennel Club PAC,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",American Property Casualty Insurance Association PAC,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Anthem Inc PAC,3000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Appraisal Institute - NC Chapter PAC,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Astellas US LLC PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",AT&T NC PAC,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Bayer US LLC PAC,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Blue Cross & Blue Shield of NC Employees PAC,3500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Bristol-Myers Squibb Company Employee PAC,250,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Carolina Asphalt Pavement Association PAC,7500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Carolina Auto Recyclers PAC,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Carolina Link Telephone Cooperative PAC,2250,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Carolinas Association of General Contractors Inc NC PAC,4000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Centene Corporation PAC,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Center for International Education Inc PAC,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Charter Communications NC PAC,5400,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Cigna Corporation Employee PAC,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Coca-Cola Consolidated Inc PAC,1500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Committee to Elect Wayne Sasser,750,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Corning Incorporated Employees PAC,2500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Credit Union PAC of NC,1500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",CSX Good Government Fund,1250,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",CVS Health PAC,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Dominion Energy Inc PAC,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Duke Energy Corp PAC,16000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",East Carolina Anesthesia PAC,7000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Eastern Band of Cherokee Indians,5400,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Emergeortho PA PAC,3000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Employees of Dupont PAC - Dupont De Nemours Inc,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Enterprise Holdings Inc PAC,2500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Facebook,7.65,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",FedEx Corporation PAC,7500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Friends of Forestry PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",General Motors Company PAC,1250,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",GlaxoSmithKline LLC PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Greensboro Orthopaedics PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Health Network Solutions PAC,1250,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Independent Insurance Agents of NC,7150,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",International Paper PAC,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Jim Perry Committee,5400,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",JM Family Enterprises Inc PAC,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Johnston County Republican Women,75,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Koch Industries Inc PAC,6000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Larry C. Strickland Campaign Committtee,250,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Lowe's Comp Inc. PAC,1500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Lumen Technologies Inc PAC,2500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Mag Mutual NC PAC,3000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Marathon Petroleum Corp Employee PAC,2500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",McGuireWoods Federal PAC Fund,6500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV","Merck & Co., Inc Employees PAC",500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Michele Nix Committee,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",National Federation of Independent Business NC PAC,503.92,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Nationwide Carolina Political Participation Fund,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Advocates for Justice PAC,5400,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC American Nurses Association PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Assisted Living Association PAC,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Associates of CPAs PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Association of Electric Cooperatives Rural Electric Action Program,10800,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Association of Health Underwriters PAC,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Association of Nurse Anesthetists,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Association of Realtors PAC,10800,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Association of Student Financial Aid Administrators PAC,3000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Auto Dealers Accociation PAC,3020,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Bail Agents Association PAC,1500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Bankers Association PAC,3500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Beer & Wine Wholesalers Association PAC,10400,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Chamber PAC,4500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Chiropractic Association Inc PAC,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Dental Society PAC,5000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Farm Bureau Federation Inc PAC,10800,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Fire PAC,6250,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Health Care Facilities Association PAC,8400,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Home Builders Association PAC,5000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Hospital Association PAC,9400,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Manufactured & Modular Homebuilders Association PAC,1500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Medical Society State PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Merchants PAC Inc,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Outdoor Advertising Association PAC,1150,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Petroleum & Convenience Marketers PAC,3000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Pork Council PAC,7900,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Restaurant & Lodging Association PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Society of Eye Physicians & Surgeons PAC,2500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC State Optometric Society PAC,1200,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Vending Association PAC,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",NC Veterinary Medical Association,3000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Nelson Mullins Riley & Scarborough LLP PAC,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Nexsen Pruet NC PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Norfolk Southern Corporation Good Government Fund,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",North Carolina Republican Party,4483.35,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Orthocarolina PA Federal PAC,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV","PepsiCo, Inc Concerned Citizens Fund",500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Pfizer Inc PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Providence Anesthesiology Associates PA Federal PAC,5000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Publix Supermarkets Inc Association PAC,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Resident Lenders of NC PAC,2000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Smith Anderson PAC,3000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",State Employees Association of NC PAC,5000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",The Caterpillar Inc Employee PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Truist NC PAC,10800,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",UCB PAC,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",UnitedHealth Group Inc PAC,3500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Universal Leaf Tobacco Company Inc PAC,250,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",University Development Coalition,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Wal-Mart Stores Inc PAC for Responsible Government,2200,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Ward and Smith PAC,4500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Waste Management Employees Better Government Fund,500,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Wellcare Health Plans Inc PAC (Closed),1700,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Wells Fargo and Company NC Employees Good Government Fund,3000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 10,"John R. Bell, IV",Woody White for New Hanover County Commissioner,1000,654203,R,"Greene, Johnston, Wayne",2013,10,NA
Representative District 100,John Autry,Atrium Health Employees NC PAC,1000,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 100,John Autry,Blue Cross & Blue Shield of NC Employees PAC,750,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 100,John Autry,Communication Workers of America - COPE PCC,1000,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 100,John Autry,Democratic Women of Mecklenburg County,700,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 100,John Autry,IATSE 491 Back to One PAC,250,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 100,John Autry,Kinsey Campaign Committee,100,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 100,John Autry,McGuireWoods Federal PAC Fund,500,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 100,John Autry,NC American Nurses Association PAC,1000,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 100,John Autry,NC Association of Nurse Anesthetists,1000,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 100,John Autry,NC Home Builders Association PAC,750,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 100,John Autry,NC State AFL-CIO Committee on Political Education,150,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 100,John Autry,Southern States Police Benevolent Association PAC,1000,43765,D,Mecklenburg,1-Jan-17,100,NA
Representative District 101,Carolyn G. Logan,Charlotte Metro Credit Union,0.45,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,Communication Workers of America - COPE PCC,1000,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,Democratic Women of Mecklenburg County,500,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,Hopewell Ame Zion Church,50,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,Hunt for House,67,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,Jana Sales,100,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,McGuireWoods Federal PAC Fund,750,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,NC American Nurses Association PAC,1000,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,NC Association of Electric Cooperatives Rural Electric Action Program,300,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,NC Association of Nurse Anesthetists,1000,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,NC Beer & Wine Wholesalers Association PAC,1500,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,NC Home Builders Association PAC,750,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,NC State Optometric Society PAC,200,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,Scope Anesthesia PAC,500,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 101,Carolyn G. Logan,State Employees Association of NC PAC,500,12578,D,Mecklenburg,1-Jan-19,101,NA
Representative District 102,Becky Carney,American Airlines Inc PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,American Property Casualty Insurance Association PAC,500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,AT&T NC PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Atrium Health Employees NC PAC,2500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Bank of America Corp State and Federal PAC,3000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Blue Cross & Blue Shield of NC Employees PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Carolina Asphalt Pavement Association PAC,1500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Carolina Link Telephone Cooperative PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Carolinas Association of General Contractors Inc NC PAC,500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Carolinas Ready Mixed Concrete Association NC PAC,500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Centene Corporation PAC,1250,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Charter Communications NC PAC,500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Cigna Corporation Employee PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Coca-Cola Consolidated Inc PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Committee to Elect Carolyn Logan,250,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Committee to Elect Graig Meyer,250,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Credit Union PAC of NC,500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,CSX Good Government Fund,500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Democratic Women of Mecklenburg County,350,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Dominion Energy Inc PAC,2000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Duke Energy Corp PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Eastern Band of Cherokee Indians,5400,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Emily's List,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Enterprise Holdings Inc PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Erie Indemnity Company PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,General Motors Company PAC,750,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,GlaxoSmithKline LLC PAC,250,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Jackson for NC,250,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,JM Family Enterprises Inc PAC,500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Lillian's List PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Lowe's Comp Inc. PAC,750,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,McGuireWoods Federal PAC Fund,1750,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Mecklenburg County Medical Society,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Metrolina Area Radiologists for Quality in Medicine PAC,3000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Mid-Atlantic Emergency Medical Associates PAC,5400,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,Nationwide Carolina Political Participation Fund,500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Associates of CPAs PAC,500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Association of Educators,3000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Association of Electric Cooperatives Rural Electric Action Program,1700,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Association of Realtors PAC,7400,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Association of Student Financial Aid Administrators PAC,2500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Auto Dealers Accociation PAC,1020,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Bankers Association PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Clean Energy Business Alliance PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Democratic Party,1232.45,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Dental Society PAC,4000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Farm Bureau Federation Inc PAC,2000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Health Care Facilities Association PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Home Builders Association PAC,1000,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Hospital Association PAC,5400,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Medical Society State PAC,3500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Merchants PAC Inc,500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Orthopaedic Association PAC,500,111160,D,Mecklenburg,2003,102,NA
Representative District 102,Becky Carney,NC Restaurant & Lodging Association PAC,2000,111160,D,Mecklenburg,2003,102,NA
